TmStamp,GHI,DNI,DHI,DNI_extra,amb_temp,sol_azi,sol_zen,albedo,Measured POA,airmass,Hour
2021-05-10 12:07:00-07:00,1030.77294921875,956.7070922851562,102.47782135009766,1338.992128782401,23.459999084472656,183.57417874278465,17.245587836330685,0.1861582249403,1056.8414306640625,1.0466371038435587,12.0
2021-05-10 12:08:00-07:00,1029.784423828125,957.1343994140625,101.64208221435547,1338.992128782401,23.8700008392334,184.37510067146553,17.259598525050393,0.18619060516357422,1056.3594970703125,1.0467164300475653,12.0
2021-05-10 12:09:00-07:00,1030.260009765625,957.9727172851562,101.92473602294922,1338.992128782401,24.030000686645508,185.17470399347175,17.276455583537768,0.18624912202358246,1056.067138671875,1.0468119707210342,12.0
2021-05-10 12:10:00-07:00,1031.2054443359375,959.3350830078125,101.6744155883789,1338.992128782401,24.290000915527344,185.97275025596525,17.29615547723016,0.18632453680038452,1056.5164794921875,1.0469237605116095,12.0
2021-05-10 12:11:00-07:00,1031.3104248046875,958.9299926757812,102.71454620361328,1338.992128782401,24.09000015258789,186.76900406403593,17.318680627473498,0.186370387673378,1056.0836181640625,1.0470517633664265,12.0
2021-05-10 12:12:00-07:00,1031.0152587890625,958.5029296875,102.65310668945312,1338.992128782401,24.100000381469727,187.5632335253004,17.3440292243519,0.18619538843631744,1055.4173583984375,1.0471960416710961,12.0
2021-05-10 12:13:00-07:00,1030.7845458984375,958.0302734375,102.77540588378906,1338.992128782401,24.110000610351562,188.35521067049174,17.37218588761604,0.18615418672561646,1055.3883056640625,1.0473565894844097,12.0
2021-05-10 12:14:00-07:00,1032.1104736328125,958.0708618164062,103.72599029541016,1338.992128782401,24.270000457763672,189.1447123836265,17.403138988555185,0.18621958792209625,1058.216796875,1.0475334308134707,12.0
2021-05-10 12:15:00-07:00,1034.528564453125,957.130126953125,106.10375213623047,1338.992128782401,25.110000610351562,189.93151867486415,17.4368808864173,0.18638823926448822,1062.6265869140625,1.04772662107746,12.0
2021-05-10 12:16:00-07:00,1035.22900390625,955.8713989257812,108.76326751708984,1338.992128782401,25.600000381469727,190.71541620959027,17.473380961374957,0.18643318116664886,1064.5003662109375,1.04793609234666,12.0
2021-05-10 12:17:00-07:00,1034.123046875,954.865234375,109.54446411132812,1338.992128782401,25.889999389648438,191.4961965329825,17.5126238968881,0.18642473220825195,1063.4310302734375,1.0481618721167392,12.0
2021-05-10 12:18:00-07:00,1035.5467529296875,954.9810180664062,110.60696411132812,1338.992128782401,25.399999618530273,192.27365691262582,17.554582995833087,0.1863155961036682,1064.0904541015625,1.0484039301020327,12.0
2021-05-10 12:19:00-07:00,1036.887451171875,953.453857421875,113.51748657226562,1338.992128782401,25.329999923706055,193.0476006260343,17.599255329702828,0.18640877306461334,1065.9212646484375,1.0486623807999078,12.0
2021-05-10 12:20:00-07:00,1043.74462890625,952.4315185546875,121.28589630126953,1338.992128782401,25.469999313354492,193.81783722947435,17.64661724823054,0.18644391000270844,1074.76220703125,1.0489372268274924,12.0
2021-05-10 12:21:00-07:00,1054.798583984375,953.4198608398438,132.19577026367188,1338.992128782401,25.670000076293945,194.58418278597898,17.696644885554534,0.18647445738315582,1088.0130615234375,1.0492284765303006,12.0
2021-05-10 12:22:00-07:00,1019.8790893554688,904.9400634765625,148.7379913330078,1338.992128782401,25.530000686645508,195.34646008137827,17.74930984393083,0.18648894131183624,1099.4515380859375,1.049536118507716,12.0
2021-05-10 12:23:00-07:00,942.5137939453125,800.4378662109375,156.26795959472656,1338.992128782401,24.950000762939453,196.10449880599387,17.80458697077566,0.18594355881214142,886.4848022460938,1.0498601666106806,12.0
2021-05-10 12:24:00-07:00,943.4263305664062,790.9492797851562,153.18734741210938,1338.992128782401,24.610000610351562,196.85813570998897,17.86246137490356,0.18604566156864166,553.5473022460938,1.0502007014285168,12.0
2021-05-10 12:25:00-07:00,1074.2830810546875,954.8510131835938,149.00535583496094,1338.992128782401,24.469999313354492,197.60721523960564,17.922907209701677,0.1864442080259323,1106.50244140625,1.0505577457138828,12.0
2021-05-10 12:26:00-07:00,1065.6446533203125,955.476318359375,139.48780822753906,1338.992128782401,24.43000030517578,198.3515876265299,17.985896838557224,0.1861581951379776,1094.37060546875,1.050931317426366,12.0
2021-05-10 12:27:00-07:00,1060.9488525390625,953.8447265625,137.47293090820312,1338.992128782401,24.809999465942383,199.091111985722,18.05140809275558,0.18608923256397247,1087.8179931640625,1.0513214726218647,12.0
2021-05-10 12:28:00-07:00,1053.034912109375,946.1316528320312,134.19615173339844,1338.992128782401,24.84000015258789,199.82565435483158,18.119402263673322,0.1859808713197708,1082.409423828125,1.0517281740304718,12.0
2021-05-10 12:29:00-07:00,1057.4937744140625,953.5790405273438,135.0556640625,1338.992128782401,24.540000915527344,200.55508822581513,18.18985140793359,0.185696542263031,1084.0855712890625,1.0521514530668041,12.0
2021-05-10 12:30:00-07:00,1035.9339599609375,933.9801635742188,132.33062744140625,1338.992128782401,24.59000015258789,201.27929455615902,18.262736706087622,0.1856781393289566,1064.9200439453125,1.0525914011078907,12.0
